celda_id,dtot,ini_dia,fin_dia,valida,lon,anio_inicio,anio_fin
c1045_m08555,689,108,220,TRUE,113,2002,2025
c1045_m08565,353,117,227,TRUE,111,2002,2025
c1045_m08575,508,164,227,TRUE,64,2002,2025
c1045_m08585,125,179,226,TRUE,48,2002,2025
c1055_m08385,1,NA,NA,FALSE,NA,2002,2025
c1055_m08395,8,NA,NA,FALSE,NA,2002,2025
c1055_m08405,2,NA,NA,FALSE,NA,2002,2025
c1055_m08415,14,NA,NA,FALSE,NA,2002,2025
c1055_m08425,13,NA,NA,FALSE,NA,2002,2025
c1055_m08435,18,NA,NA,FALSE,NA,2002,2025
c1055_m08445,20,NA,NA,FALSE,NA,2002,2025
c1055_m08455,31,153,249,TRUE,97,2002,2025
c1055_m08465,3,NA,NA,FALSE,NA,2002,2025
c1055_m08505,7,NA,NA,FALSE,NA,2002,2025
c1055_m08515,115,197,250,TRUE,54,2002,2025
c1055_m08525,163,177,238,TRUE,62,2002,2025
c1055_m08535,390,182,237,TRUE,56,2002,2025
c1055_m08545,252,155,232,TRUE,78,2002,2025
c1055_m08555,472,141,234,TRUE,94,2002,2025
c1055_m08565,579,146,229,TRUE,84,2002,2025
c1055_m08575,45,166,229,TRUE,64,2002,2025
c1065_m08375,2,NA,NA,FALSE,NA,2002,2025
c1065_m08385,4,NA,NA,FALSE,NA,2002,2025
c1065_m08395,2,NA,NA,FALSE,NA,2002,2025
c1065_m08405,7,NA,NA,FALSE,NA,2002,2025
c1065_m08415,2,NA,NA,FALSE,NA,2002,2025
c1065_m08425,1,NA,NA,FALSE,NA,2002,2025
c1065_m08435,18,NA,NA,FALSE,NA,2002,2025
c1065_m08445,15,NA,NA,FALSE,NA,2002,2025
c1065_m08455,10,NA,NA,FALSE,NA,2002,2025
c1065_m08465,13,NA,NA,FALSE,NA,2002,2025
c1065_m08475,14,NA,NA,FALSE,NA,2002,2025
c1065_m08485,2,NA,NA,FALSE,NA,2002,2025
c1065_m08495,5,NA,NA,FALSE,NA,2002,2025
c1065_m08505,1,NA,NA,FALSE,NA,2002,2025
c1065_m08515,14,NA,NA,FALSE,NA,2002,2025
c1065_m08525,24,NA,NA,FALSE,NA,2002,2025
c1065_m08535,74,187,249,TRUE,63,2002,2025
c1065_m08545,135,171,245,TRUE,75,2002,2025
c1065_m08555,548,107,228,TRUE,122,2002,2025
c1065_m08565,305,173,240,TRUE,68,2002,2025
c1065_m08575,5,NA,NA,FALSE,NA,2002,2025
c1075_m08375,1,NA,NA,FALSE,NA,2002,2025
c1075_m08385,1,NA,NA,FALSE,NA,2002,2025
c1075_m08415,1,NA,NA,FALSE,NA,2002,2025
c1075_m08435,13,NA,NA,FALSE,NA,2002,2025
c1075_m08445,17,NA,NA,FALSE,NA,2002,2025
c1075_m08455,18,NA,NA,FALSE,NA,2002,2025
c1075_m08465,29,NA,NA,FALSE,NA,2002,2025
c1075_m08475,46,180,261,TRUE,82,2002,2025
c1075_m08485,20,NA,NA,FALSE,NA,2002,2025
c1075_m08495,18,NA,NA,FALSE,NA,2002,2025
c1075_m08505,13,NA,NA,FALSE,NA,2002,2025
c1075_m08515,1,NA,NA,FALSE,NA,2002,2025
c1075_m08535,2,NA,NA,FALSE,NA,2002,2025
c1075_m08545,25,NA,NA,FALSE,NA,2002,2025
c1075_m08555,125,155,237,TRUE,83,2002,2025
c1075_m08565,125,172,237,TRUE,66,2002,2025
c1085_m08425,1,NA,NA,FALSE,NA,2002,2025
c1085_m08435,6,NA,NA,FALSE,NA,2002,2025
c1085_m08445,45,16,281,TRUE,266,2002,2025
