clase,detecciones,en_humedal,pct_en_humedal,fraccion_humedal_promedio,hectareas_quemadas,pct_quemado_en_humedal
Bosque,58109,1963,3.4,0.013,285947,3.5
Pastizal,19884,2107,10.6,0.062,138089,12.2
Cultivos,4882,347,7.1,0.04,136742,5.5
Zonas construidas,723,6,0.8,0.001,150,0
Suelo desnudo / vegetación escasa,593,95,16,0.064,0,NA
Humedal herbáceo,121,107,88.4,0.715,385,100
Cuerpos de agua,115,56,48.7,0.278,791,32.4
Manglar,103,50,48.5,0.223,770,58.3
Matorral,5,0,0,0,64,0
