clase,fraccion_promedio,detecciones_dominante
Bosque,0.639,58114
Pastizal,0.278,19884
Cultivos,0.057,4882
Zonas construidas,0.011,724
Suelo desnudo / vegetación escasa,0.006,593
Cuerpos de agua,0.003,115
Matorral,0.003,5
Humedal herbáceo,0.002,121
Manglar,0.001,103
Nieve y hielo,0,0
